nct_id,sponsor_types,num_collaborators,countries,num_countries,lead_sponsor_type
NCT01969357,INDUSTRY,0,China,1,INDUSTRY
NCT00850551,OTHER,1,United States,1,OTHER
NCT01855542,OTHER,0,South Korea,1,OTHER
NCT01962753,OTHER,0,France,1,OTHER
NCT00115258,OTHER,0,,0,OTHER
NCT01573338,INDUSTRY,0,United States;France;South Korea,3,INDUSTRY
NCT03970642,OTHER,0,United States,1,OTHER
NCT02299232,OTHER,0,,0,OTHER
NCT04132479,OTHER_GOV;UNKNOWN,1,Burma,1,OTHER_GOV
NCT02974803,NETWORK;INDUSTRY,1,Canada,1,NETWORK
NCT03732183,OTHER;UNKNOWN,1,United States,1,OTHER
NCT02020746,INDUSTRY,0,Israel,1,INDUSTRY
NCT01391507,INDUSTRY,0,Germany,1,INDUSTRY
NCT02901210,OTHER,0,,0,OTHER
NCT04703816,OTHER,0,France,1,OTHER
NCT02156570,OTHER_GOV,0,Australia;New Zealand,2,OTHER_GOV
NCT01683461,OTHER;NIH,2,South Africa,1,OTHER
NCT02104232,OTHER;NIH,2,India,1,OTHER
NCT03289143,INDUSTRY,0,United States;Australia;Belgium;Canada;Denmark;France;Germany;Italy;Netherlands;Poland;Spain;Sweden;United Kingdom,13,INDUSTRY
NCT02243332,INDUSTRY;OTHER,1,United States,1,INDUSTRY
NCT05058443,OTHER,0,China,1,OTHER
NCT01783548,INDUSTRY,0,United States,1,INDUSTRY
NCT03512392,OTHER,2,United Kingdom,1,OTHER
NCT01046643,OTHER;NIH,1,United States,1,OTHER
NCT01454999,FED,1,United States,1,FED
NCT01805700,OTHER,0,United Kingdom,1,OTHER
NCT01523002,OTHER;INDUSTRY,1,Switzerland,1,OTHER
NCT01201915,INDUSTRY,0,United States,1,INDUSTRY
NCT03130959,INDUSTRY,0,United States;Australia;Brazil;Canada;France;Germany;Hong Kong;Israel;Netherlands;Norway;Poland;Russia;Spain;Sweden;United Kingdom,15,INDUSTRY
NCT02952170,OTHER;NIH,1,United States,1,OTHER
NCT01303952,OTHER;INDUSTRY,1,Germany,1,OTHER
NCT00504790,INDUSTRY,0,United States,1,INDUSTRY
NCT00627614,OTHER;NIH,1,United States,1,OTHER
NCT02645136,OTHER,0,,0,OTHER
NCT00003538,OTHER;NIH,1,United States,1,OTHER
NCT01963364,OTHER,0,United Kingdom,1,OTHER
NCT01942785,INDUSTRY,0,United States,1,INDUSTRY
NCT03108508,OTHER;UNKNOWN,3,Spain,1,OTHER
NCT00269282,OTHER;NIH,1,United States,1,OTHER
NCT01221922,INDUSTRY,0,Thailand,1,INDUSTRY
NCT02534363,OTHER;NETWORK,2,Spain,1,OTHER
NCT02150499,INDUSTRY,0,United States,1,INDUSTRY
NCT00000906,NIH,0,United States,1,NIH
NCT03352037,OTHER,0,Canada,1,OTHER
NCT04442438,OTHER,1,Netherlands,1,OTHER
NCT01426412,INDUSTRY,0,United States,1,INDUSTRY
NCT01871532,INDUSTRY,0,Ireland;United Kingdom,2,INDUSTRY
NCT00255086,OTHER;INDUSTRY,2,United States,1,OTHER
NCT00373204,INDUSTRY,0,United States;Canada;Russia;Serbia,4,INDUSTRY
NCT02703337,INDUSTRY,0,Germany,1,INDUSTRY
NCT01263054,INDUSTRY,0,United States,1,INDUSTRY
NCT03321825,INDUSTRY,0,Canada,1,INDUSTRY
NCT02657317,OTHER;FED,1,United States,1,OTHER
NCT02112721,OTHER,2,Australia,1,OTHER
NCT02340819,INDUSTRY,0,Japan,1,INDUSTRY
NCT01089647,OTHER;INDUSTRY,1,United States,1,OTHER
NCT05631678,INDUSTRY,0,China,1,INDUSTRY
NCT02548065,OTHER,0,Italy,1,OTHER
NCT00312039,INDUSTRY,1,United States,1,INDUSTRY
NCT04273620,OTHER,0,Germany,1,OTHER
NCT00672607,INDUSTRY,0,China,1,INDUSTRY
NCT02806596,OTHER,0,,0,OTHER
NCT02341456,INDUSTRY,0,Australia;Japan;South Korea,3,INDUSTRY
NCT02672020,OTHER;OTHER_GOV,3,France,1,OTHER
NCT00491517,OTHER,0,Italy,1,OTHER
NCT02229708,OTHER;FED,1,United States,1,OTHER
NCT01380496,INDUSTRY,1,Canada,1,INDUSTRY
NCT02393833,NETWORK,0,Italy;Nigeria;Peru,3,NETWORK
NCT00650858,OTHER;FED;INDUSTRY,2,United States;Canada;Germany;United Kingdom,4,OTHER
NCT00573794,INDUSTRY,0,,0,INDUSTRY
NCT00958789,INDUSTRY,0,United States,1,INDUSTRY
NCT01813201,OTHER,2,Spain,1,OTHER
NCT00665158,OTHER;OTHER_GOV,1,Canada,1,OTHER
NCT00951834,OTHER,0,Germany,1,OTHER
NCT01298804,OTHER;UNKNOWN,1,United States,1,OTHER
NCT02628769,OTHER;INDUSTRY,1,United Kingdom,1,OTHER
NCT05654155,OTHER,1,Taiwan,1,OTHER
NCT03939936,OTHER,0,Turkey (Türkiye),1,OTHER
NCT00654017,INDUSTRY,0,Brazil,1,INDUSTRY
NCT01842087,OTHER,1,United States,1,OTHER
NCT00595946,INDUSTRY,1,United States;Canada,2,INDUSTRY
NCT00934362,OTHER;INDUSTRY,2,United States,1,OTHER
NCT04759768,INDUSTRY,0,United States,1,INDUSTRY
NCT00814346,INDUSTRY,0,France,1,INDUSTRY
NCT03198130,INDUSTRY,1,South Korea;United Kingdom,2,INDUSTRY
NCT03365947,INDUSTRY,0,Australia;Hong Kong;New Zealand,3,INDUSTRY
NCT04445389,INDUSTRY,0,South Korea,1,INDUSTRY
NCT03407794,OTHER,1,United States,1,OTHER
NCT01895478,OTHER,0,United States,1,OTHER
NCT02765945,OTHER,0,United States,1,OTHER
NCT00605020,INDUSTRY,0,Austria;Germany;Switzerland,3,INDUSTRY
NCT00140530,OTHER;UNKNOWN,1,Germany,1,OTHER
NCT01799694,OTHER,0,Spain,1,OTHER
NCT03872765,OTHER,0,,0,OTHER
NCT00266708,OTHER,0,United States,1,OTHER
NCT02577718,INDUSTRY;OTHER,1,United States,1,INDUSTRY
NCT00001735,NIH,0,United States,1,NIH
NCT05809102,OTHER,0,Egypt,1,OTHER
NCT02387424,OTHER;NIH,3,United States,1,OTHER
NCT01928940,INDUSTRY,0,Japan,1,INDUSTRY
NCT02393378,INDUSTRY,0,Czechia;Estonia;Russia;Spain;United Kingdom,5,INDUSTRY
NCT02494999,NETWORK;INDUSTRY,1,China,1,NETWORK
NCT03107208,OTHER,0,United States,1,OTHER
NCT02079324,INDUSTRY,0,South Korea,1,INDUSTRY
NCT00573287,OTHER;NIH,1,United States,1,OTHER
NCT00858793,OTHER,0,Germany,1,OTHER
NCT03136900,OTHER,0,Belgium,1,OTHER
NCT00000689,NIH,0,United States,1,NIH
NCT03956875,OTHER,0,Taiwan,1,OTHER
NCT01129960,INDUSTRY,0,Portugal,1,INDUSTRY
NCT00645918,INDUSTRY,0,United States;Canada,2,INDUSTRY
NCT01896024,OTHER,0,Switzerland,1,OTHER
NCT02077595,OTHER,0,Taiwan,1,OTHER
NCT00330551,OTHER;NIH;INDUSTRY,2,United States,1,OTHER
NCT05366660,OTHER,0,France,1,OTHER
NCT01814423,OTHER,0,Guinea-Bissau,1,OTHER
NCT01482936,INDUSTRY,0,China,1,INDUSTRY
NCT01524627,OTHER;NIH,2,United States,1,OTHER
NCT01578577,OTHER;NIH,1,United States,1,OTHER
NCT00983866,OTHER;NIH,1,United States,1,OTHER
NCT00364780,INDUSTRY,0,United States,1,INDUSTRY
NCT03317041,OTHER,0,,0,OTHER
NCT02786459,OTHER;UNKNOWN;INDUSTRY,2,Canada,1,OTHER
NCT00790114,INDUSTRY,0,,0,INDUSTRY
NCT03128892,INDUSTRY,0,United States,1,INDUSTRY
NCT04135144,OTHER,0,Turkey (Türkiye),1,OTHER
NCT01753869,OTHER,2,United Kingdom,1,OTHER
NCT02096705,INDUSTRY,1,China;Singapore;South Korea,3,INDUSTRY
NCT02746380,INDUSTRY,1,Japan;South Korea,2,INDUSTRY
NCT03880058,INDUSTRY,1,United States,1,INDUSTRY
NCT01019408,OTHER,3,Pakistan,1,OTHER
NCT00956683,OTHER,0,Canada,1,OTHER
NCT00380198,INDUSTRY,0,United States,1,INDUSTRY
NCT02515994,INDUSTRY,0,United States,1,INDUSTRY
NCT03619486,OTHER,0,Taiwan,1,OTHER
NCT01379677,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT04991155,INDUSTRY,0,,0,INDUSTRY
NCT01492075,OTHER,0,Sweden,1,OTHER
NCT01074801,OTHER,1,United Kingdom,1,OTHER
NCT00000321,NIH;OTHER,1,United States,1,NIH
NCT02499783,INDUSTRY,0,,0,INDUSTRY
NCT01237496,INDUSTRY,0,Italy,1,INDUSTRY
NCT00773890,INDUSTRY,0,United States,1,INDUSTRY
NCT02021227,OTHER,0,France,1,OTHER
NCT00873561,INDUSTRY,0,Canada;Czechia;Finland;France;Germany;South Africa;Spain;United Kingdom,8,INDUSTRY
NCT01581060,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT00856843,INDUSTRY,0,United States,1,INDUSTRY
NCT03214536,OTHER,0,Belgium,1,OTHER
NCT00806611,OTHER,0,United States,1,OTHER
NCT02905305,OTHER;INDUSTRY;OTHER_GOV;UNKNOWN,5,Australia,1,OTHER
NCT04268394,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT01934569,INDUSTRY,0,Belgium,1,INDUSTRY
NCT01219647,OTHER,1,United States,1,OTHER
NCT02126670,INDUSTRY,0,United States,1,INDUSTRY
NCT03988426,INDUSTRY,0,Russia,1,INDUSTRY
NCT02216097,INDUSTRY,0,United States,1,INDUSTRY
NCT01575275,OTHER;NIH,1,United States,1,OTHER
NCT01083264,INDUSTRY,0,Germany,1,INDUSTRY
NCT03305159,OTHER,0,United States,1,OTHER
NCT02574741,OTHER,0,United States,1,OTHER
NCT03700294,INDUSTRY,0,United States,1,INDUSTRY
NCT00045669,OTHER;NIH,1,United States;Canada,2,OTHER
NCT02991586,OTHER,0,Spain,1,OTHER
NCT03865680,OTHER,1,Egypt,1,OTHER
NCT00454363,NIH,0,United States,1,NIH
NCT02084485,INDUSTRY,0,United Kingdom,1,INDUSTRY
NCT00211874,OTHER;FED,1,United States,1,OTHER
NCT03050177,INDUSTRY,0,,0,INDUSTRY
NCT03160469,OTHER_GOV,0,,0,OTHER_GOV
NCT00454103,OTHER,0,Germany,1,OTHER
NCT01915602,INDUSTRY,0,United States;Austria;Belgium;China;Czechia;France;Germany;Hong Kong;Hungary;Israel;Italy;Japan;New Zealand;Singapore;South Korea;Spain;Switzerland;Taiwan;Thailand;Turkey (Türkiye);United Kingdom,21,INDUSTRY
NCT06207682,INDUSTRY,0,United States,1,INDUSTRY
NCT03649347,OTHER,0,United States,1,OTHER
NCT01799785,OTHER,0,Canada,1,OTHER
