"","main_id","proj_id","eligibility","eudract_id","nct_id","crossregistration_check","registry","trial_title","trial_name","lead_institution","lead_country","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","extraction_date_latest","publication_type","has_summary_results","summary_results_date","registration_date","start_date","completion_date","completion_year","primary_completion_date","primary_completion_year","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","recruitment_status","phase","enrollment","is_multicentric","is_multinational","main_sponsor","is_controlled","is_randomised","masking","intervention_type","center_size","single_sponsor","completion_date_type","registered_euctr","registered_ctgov","sponsor_type","phase_recoded","sample_size","time_to_registration","recruitment_status_recoded","is_rct"
"1","2006-006130-17","2","Eligible","2006-006130-17","NCT00646854","Automatically identified","euctr","ACT-1 (younger patients) A randomized phase III study to evaluate the efficacy of chemoimmunotherapy with the monoclonal antibody Campath-1H (Alemtuzumab) given in combination with 2-weekly CHOP versus 2-weekly CHOP alone and consolidated by autologous stem cell transplant, in young patients with previously untreated systemic peripheral T-cell lymphomas","ACT-1 ( Alemtuzumab and CHOP in T- cell lymphoma)","Aarhus University Hospital","Denmark","Yes","10.1182/blood-2018-99-110429",NA,"https://doi.org/10.1182/blood-2018-99-110429","2018-11-29","Systematic Google search",2022-12-23,"Conference abstract","No",NA,2007-06-06,NA,2016-12-31,"2016",NA,NA,698,NA,NA,NA,NA,3496,NA,4194,"Any Completed, none Prematurely Ended","3",308,"Yes","Yes","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Aarhus University Hospital",NA,"Yes","Yes","Only non-industry","III","100-500",NA,"Completed","Yes"
"2","2007-006033-14","3","Eligible","2007-006033-14","NCT00717938","Automatically identified","euctr","A randomized phase III study of standard treatment +/- enoxaparin in small cell lung cancer. 
 
 
 Randomiserad fas III studie av standard behandling +/- enoxaparin vid småcellig lungcancer.","RASTEN 
 
 
 RASTEN","Skane University Hospital","Sweden","Yes","10.1093/annonc/mdx716",29106448,"https://linkinghub.elsevier.com/retrieve/pii/S0923753419350495","2018-02-01","Linked at the registration",2023-01-24,"Journal publication","Yes","2021-07-22",2008-02-19,2008-04-02,2017-05-05,"2017","2017-05-05","2017",272,272,1539,1539,43,3363,3363,3635,"Any Completed, none Prematurely Ended","3",390,"Yes","Yes","Only non-industry","No","No","Open label","Medicinal product","small","Skane University Hospital",NA,"Yes","Yes","Only non-industry","III","100-500","Prospective registration","Completed","No"
"3","2007-007842-36","4","Eligible","2007-007842-36","NCT00760682","Identified in publication","euctr","Hyperbaric oxygen treatment of mandibular osteoradionecrosis. A randomized clinical study.","DAHANCA 21 (version 1)","Copenhagen University Hospital","Denmark","Yes","10.1016/j.radonc.2021.11.021",34843843,"https://doi.org/10.1016/j.radonc.2021.11.021","2021-11-26","Systematic Google search",2023-01-05,"Journal publication","Yes","2020-01-28",2008-04-21,2008-06-01,2018-12-31,"2018","2018-11-04","2018",1061,1118,393,450,41,3906,3849,4967,"Any Completed, none Prematurely Ended","0",97,"Yes","Yes","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Copenhagen University Hospital",NA,"Yes","Yes","Only non-industry","Not given","1-100","Prospective registration","Completed","Yes"
"4","2008-003235-20","5","Eligible","2008-003235-20",NA,"None found","euctr","NOPHO - ALL 2008. Treatment Protocol for Children (1.0 - 17.9 years of age) with Acute Lymphoblastic Leukemia","NOPHO ALL-2008","The National University Hospital of Iceland","Iceland","No",NA,NA,NA,NA,NA,2023-01-14,NA,"No",NA,2008-07-02,NA,2016-04-03,"2016",NA,NA,NA,NA,NA,NA,NA,2832,NA,NA,"Any Prematurely Ended","0",1550,"Yes","Yes","Only non-industry","Yes","Yes","Open label","Medicinal product","small","The National University Hospital of Iceland",NA,"Yes","No","Only non-industry","Not given",">500",NA,"Terminated","Yes"
"5","2008-003527-24","6","Eligible","2008-003527-24","NCT00979641","Identified in publication","euctr","Single arm study of the combination of biweekly Avastin and Docetaxel as the first line treatment for patients with locally recurrrent or metastatic breast cancer","Aino","Tampere University Hospital","Finland","Yes","10.21873/anticanres.11241",27919965,"doi.org/10.21873/anticanres.11241","2016-12-01","Cross-reference",2023-02-01,"Journal publication","No",NA,2008-10-01,NA,2016-03-08,"2016",NA,NA,268,NA,NA,NA,NA,2715,NA,2983,"Any Completed, none Prematurely Ended","2",65,"Yes","Yes","Only non-industry","No","No","Open label","Medicinal product","small","Tampere University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100",NA,"Completed","No"
"6","2008-004584-19","7","Eligible","2008-004584-19",NA,"None found","euctr","Skolioser hos cerebral parese patienter behandlet med Botulinum toxin A Injektioner.","","Hvidovre and Amager Hospital","Denmark","Yes","10.1097/brs.0000000000001049",26165216,"https://doi.org/10.1097/brs.0000000000001049","2015-12-01","Linked at the registration",2023-02-10,"Journal publication","No",NA,2008-08-13,NA,2016-06-15,"2016",NA,NA,-197,NA,NA,NA,NA,2863,NA,2666,"Any Completed, none Prematurely Ended","4",33,"No","No","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Hvidovre and Amager Hospital",NA,"Yes","No","Only non-industry","IV","1-100",NA,"Completed","Yes"
"7","2008-004771-22","8","Eligible","2008-004771-22","NCT02744872","Identified in publication","euctr","Prospective randomised dubbleblind placebocontrolled trial of calcium antagonist to prevent calcineurin induced nephropathy in lung transplanted patients 
 
 
 Prospektivt randomiseret dobbeltblindt placebo-kontrolleret studie af, calciumkanalblokade påbegyndt inden operation, - med henblik på at forebygge ciclosporin induceret nefropati efter lungetransplantation.","CARCATS","Copenhagen University Hospital","Denmark","Yes","10.1016/j.healun.2020.01.1342",32061508,"https://doi.org/10.1016/j.healun.2020.01.1342","2020-02-13","Systematic Google search",2023-01-19,"Journal publication","No",NA,2008-07-29,NA,2016-08-28,"2016",NA,NA,1264,NA,NA,NA,NA,2952,NA,4216,"Any Completed, none Prematurely Ended","4",60,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Copenhagen University Hospital",NA,"Yes","Yes","Only non-industry","IV","1-100",NA,"Completed","Yes"
"8","2008-006802-40","9","Eligible","2008-006802-40","NCT02636088","Identified in manual search","euctr","A PHASE II STUDY WITH OXALIPLATIN + 5FU + CETUXIMAB AND RADIOTHERAPY 
 FOR TREATMENT OF NON-RESECTABLE, LOCALLY ADVANCED BUT NOT METASTATIC CANCER OF OESOPHAGUS OR THE CARDIA REGION","LERFOX-C","Karolinska University Hospital","Sweden","Yes","10.1016/j.ctarc.2020.100187",32619832,"https://doi-org.ezproxy.its.uu.se/10.1016/j.ctarc.2020.100187","2020-06-27","Systematic Google search",2023-01-15,"Journal publication","No",NA,2010-10-25,NA,2017-06-15,"2017",NA,NA,1108,NA,NA,NA,NA,2425,NA,3533,"Any Prematurely Ended","2",90,"Yes","Yes","Only non-industry","Yes","No","Open label","Medicinal product","large","Karolinska University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100",NA,"Terminated","No"
"9","2008-008920-34","10","Eligible","2008-008920-34","NCT00887783","Automatically identified","euctr","Induction chemotherapy with Carboplatin and Navelbine Oral® followed by concomitant Navelbine Oral® and irradiation in local-regionally advanced non-small cell lung cancer.  A randomized phase II study.","","Odense University Hospital","Denmark","Yes","10.1016/j.radonc.2017.03.017",28410809,"https://pubmed.ncbi.nlm.nih.gov/28410809/","2017-04-11","Linked at the registration",2023-01-03,"Journal publication","Yes","2020-03-27",2009-01-21,2009-05-01,2017-07-21,"2017","2016-12-31","2016",-101,101,980,1182,100,3103,2901,3002,"Any Completed, none Prematurely Ended","2",117,"Yes","No","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Odense University Hospital",NA,"Yes","Yes","Only non-industry","II","100-500","Prospective registration","Completed","Yes"
"10","2008-008921-30","11","Eligible","2008-008921-30","NCT00888511","Identified in manual search","euctr","Concomitant Tarceva® and irradiation in patients in local-regionally advanced non-small cell lung cancer. A phase II study","","Odense University Hospital","Denmark","No",NA,NA,NA,NA,NA,2022-12-30,NA,"Yes","2017-04-06",2009-01-22,2009-06-18,2017-02-04,"2017","2016-05-31","2016",NA,NA,61,310,147,2935,2686,NA,"Any Completed, none Prematurely Ended","2",15,"Yes","No","Only non-industry","Yes","No","Masking","Medicinal product","large","Odense University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","No"
