"section","key","value","formatted"
"raw_data","n_iv_raw","3790","3,790"
"raw_data","n_nordic_raw","2112","2,112"
"deduplication","n_before_dedup","5902","5,902"
"deduplication","n_duplicates_between_datasets","128","128"
"filtering","n_removed_multi_id","0","0"
"filtering","n_removed_other_registry","0","0"
"filtering","n_final","5774","5,774"
"by_registry","n_ctgov","4837","4,837"
"by_registry","n_drks","658","658"
"by_registry","n_euctr","279","279"
"cross_registration","n_nordic_registered_ctgov","2007","2,007"
"cross_registration","n_nordic_registered_euctr","431","431"
"cross_registration","n_cross_registered_nordic","326","326"
"cross_registration","n_cross_as_euctr","174","174"
"cross_registration","n_cross_as_ctgov","152","152"
"cross_registration","n_cross_in_final","326","326"
"cross_registration","n_cross_in_final_euctr","174","174"
"cross_registration","n_cross_in_final_ctgov","152","152"
