"section","key","value","formatted"
"flowchart","total_n","571121","571,121"
"flowchart","completed_terminated_n","345085","345,085"
"flowchart","other_status_n","226036","226,036"
"flowchart","interventional_n","273031","273,031"
"flowchart","observational_n","72054","72,054"
"flowchart","eligible_date_n","220167","220,167"
"flowchart","ineligible_date_n","50592","50,592"
"flowchart","missing_date_n","2272","2,272"
"flowchart","eligible_missing_date_n","222439","222,439"
"flowchart","excluded_random_sample_n","210567","210,567"
"flowchart","sample_size","9600","9,600"
