"section","key","value","formatted"
"validation_dataset","n_total","5774","5,774"
"validation_dataset","n_has_publication","4186","4,186/5,774 (72.5%)"
"validation_dataset","n_has_summary_results","658","658"
"validation_dataset","n_has_any_results","4295","4,295"
"validation_dataset","n_has_both","549","549"
"validation_dataset","n_total_iv","3662","3,662"
"validation_dataset","n_has_publication_iv","2585","2,585"
"validation_dataset","n_has_summary_results_iv","408","408"
"validation_dataset","n_has_any_results_iv","2657","2,657"
"validation_dataset","n_has_both_iv","336","336"
"validation_dataset","n_missing_pmid_iv","178","178/2585"
"validation_dataset","n_total_nordic","2112","2,112"
"validation_dataset","n_has_publication_nordic","1601","1,601"
"validation_dataset","n_has_summary_results_nordic","250","250"
"validation_dataset","n_has_any_results_nordic","1638","1,638"
"validation_dataset","n_has_both_nordic","213","213"
"validation_dataset","n_missing_pmid_nordic","94","94/1601"
"confusion_matrix","tp_all","3874","3,874"
"confusion_matrix","fp_all","299","299"
"confusion_matrix","tn_all","1289","1,289"
"confusion_matrix","fn_all","312","312"
"confusion_matrix","sensitivity_all","92.5","92.5%"
"confusion_matrix","specificity_all","81.2","81.2%"
"confusion_matrix","ppv_all","92.8","92.8%"
"confusion_matrix","npv_all","80.5","80.5%"
"confusion_matrix","f_score_all","92.7","92.7%"
"detection_comparison","n_found_tool_all","4173","4,173/5,774 (72.3%)"
"detection_comparison","n_found_human_all","4186","4,186/5,774 (72.5%)"
"publication_matching","n_with_pubmed_pub_all","3914","3,914"
"publication_matching","n_correct_pub_found_all","3734","3,734/3,914 (95.4%)"
"publication_matching","pct_correct_pub_found_all","95.4","95.4%"
"publication_matching","n_correct_classification_all","3585","3,585/3,914 (91.6%)"
"publication_matching","pct_correct_classification_all","91.6","91.6%"
"performance_by_step","n_linked_all","2140","2,140"
"performance_by_step","n_linked_found_all","2101","2,101/2,140 (98.2%)"
"performance_by_step","pct_linked_found_all","98.2","98.2%"
"performance_by_step","n_google_all","1934","1,934"
"performance_by_step","n_google_found_all","1668","1,668/1,934 (86.2%)"
"performance_by_step","pct_google_found_all","86.2","86.2%"
"confusion_matrix","tp_ctgov","3221","3,221"
"confusion_matrix","fp_ctgov","251","251"
"confusion_matrix","tn_ctgov","1130","1,130"
"confusion_matrix","fn_ctgov","235","235"
"confusion_matrix","sensitivity_ctgov","93.2","93.2%"
"confusion_matrix","specificity_ctgov","81.8","81.8%"
"confusion_matrix","ppv_ctgov","92.8","92.8%"
"confusion_matrix","npv_ctgov","82.8","82.8%"
"confusion_matrix","f_score_ctgov","93","93%"
"detection_comparison","n_found_tool_ctgov","3472","3,472/4,837 (71.8%)"
"detection_comparison","n_found_human_ctgov","3456","3,456/4,837 (71.4%)"
"publication_matching","n_with_pubmed_pub_ctgov","3245","3,245"
"publication_matching","n_correct_pub_found_ctgov","3106","3,106/3,245 (95.7%)"
"publication_matching","pct_correct_pub_found_ctgov","95.7","95.7%"
"publication_matching","n_correct_classification_ctgov","2993","2,993/3,245 (92.2%)"
"publication_matching","pct_correct_classification_ctgov","92.2","92.2%"
"performance_by_step","n_linked_ctgov","1837","1,837"
"performance_by_step","n_linked_found_ctgov","1817","1,817/1,837 (98.9%)"
"performance_by_step","pct_linked_found_ctgov","98.9","98.9%"
"performance_by_step","n_google_ctgov","1535","1,535"
"performance_by_step","n_google_found_ctgov","1326","1,326/1,535 (86.4%)"
"performance_by_step","pct_google_found_ctgov","86.4","86.4%"
"confusion_matrix","tp_drks","444","444"
"confusion_matrix","fp_drks","39","39"
"confusion_matrix","tn_drks","111","111"
"confusion_matrix","fn_drks","64","64"
"confusion_matrix","sensitivity_drks","87.4","87.4%"
"confusion_matrix","specificity_drks","74","74%"
"confusion_matrix","ppv_drks","91.9","91.9%"
"confusion_matrix","npv_drks","63.4","63.4%"
"confusion_matrix","f_score_drks","89.6","89.6%"
"detection_comparison","n_found_tool_drks","483","483/658 (73.4%)"
"detection_comparison","n_found_human_drks","508","508/658 (77.2%)"
"publication_matching","n_with_pubmed_pub_drks","455","455"
"publication_matching","n_correct_pub_found_drks","426","426/455 (93.6%)"
"publication_matching","pct_correct_pub_found_drks","93.6","93.6%"
"publication_matching","n_correct_classification_drks","401","401/455 (88.1%)"
"publication_matching","pct_correct_classification_drks","88.1","88.1%"
"performance_by_step","n_linked_drks","210","210"
"performance_by_step","n_linked_found_drks","192","192/210 (91.4%)"
"performance_by_step","pct_linked_found_drks","91.4","91.4%"
"performance_by_step","n_google_drks","275","275"
"performance_by_step","n_google_found_drks","230","230/275 (83.6%)"
"performance_by_step","pct_google_found_drks","83.6","83.6%"
"confusion_matrix","tp_euctr","209","209"
"confusion_matrix","fp_euctr","9","9"
"confusion_matrix","tn_euctr","48","48"
"confusion_matrix","fn_euctr","13","13"
"confusion_matrix","sensitivity_euctr","94.1","94.1%"
"confusion_matrix","specificity_euctr","84.2","84.2%"
"confusion_matrix","ppv_euctr","95.9","95.9%"
"confusion_matrix","npv_euctr","78.7","78.7%"
"confusion_matrix","f_score_euctr","95","95%"
"detection_comparison","n_found_tool_euctr","218","218/279 (78.1%)"
"detection_comparison","n_found_human_euctr","222","222/279 (79.6%)"
"publication_matching","n_with_pubmed_pub_euctr","214","214"
"publication_matching","n_correct_pub_found_euctr","202","202/214 (94.4%)"
"publication_matching","pct_correct_pub_found_euctr","94.4","94.4%"
"publication_matching","n_correct_classification_euctr","191","191/214 (89.3%)"
"publication_matching","pct_correct_classification_euctr","89.3","89.3%"
"performance_by_step","n_linked_euctr","93","93"
"performance_by_step","n_linked_found_euctr","92","92/93 (98.9%)"
"performance_by_step","pct_linked_found_euctr","98.9","98.9%"
"performance_by_step","n_google_euctr","124","124"
"performance_by_step","n_google_found_euctr","112","112/124 (90.3%)"
"performance_by_step","pct_google_found_euctr","90.3","90.3%"
"response_time","n_response_time_trials","20","20"
"response_time","mean_duration_s","7","7.0 s"
"response_time","sd_duration_s","3.4","SD=3.4 s"
"response_time","min_duration_s","2.7","2.7 s"
"response_time","max_duration_s","13.3","13.3 s"
"manual_review","fp_reviewed_r1","100","100"
"manual_review","fp_reviewed_r2","100","100"
"manual_review","fp_both_reviewed","100","100"
"manual_review","fp_agreement","84","84/100 (84.0%)"
"manual_review","fp_discrepancies","16","16"
"manual_review","fp_reclass_rate_r1","76","76/100 (76.0%)"
"manual_review","fp_reclass_rate_r2","80","80/100 (80.0%)"
"manual_review","fp_reclass_rate_consensus","83.3","70/84 (83.3%)"
"manual_review","fn_reviewed_r1","6","6"
"manual_review","fn_reviewed_r2","96","96"
"manual_review","fn_both_reviewed","6","6"
"manual_review","fn_agreement","6","6/6 (100.0%)"
"manual_review","fn_discrepancies","0","0"
"manual_review","fn_reclass_rate_r1","66.7","4/6 (66.7%)"
"manual_review","fn_reclass_rate_r2","58.3","56/96 (58.3%)"
"manual_review","fn_reclass_rate_consensus","66.7","4/6 (66.7%)"
