"subgroup_category","subgroup_level","n_reported","n_total","pct_reported","summary_reported","n_summary_result","pct_summary_result","summary_summary_result","n_published","pct_published","summary_published","p_value","p_value_summary_result"
"Study status","COMPLETED","6407","8561","74.8","6407/8561 (74.8%)","2307","26.9","2307/8561 (26.9%)","5816","67.9","5816/8561 (67.9%)","<0.001","<0.001"
"Study status","TERMINATED","591","1039","56.9","591/1039 (56.9%)","436","42","436/1039 (42.0%)","294","28.3","294/1039 (28.3%)","",""
"Phase","EARLY_PHASE1","64","104","61.5","64/104 (61.5%)","13","12.5","13/104 (12.5%)","59","56.7","59/104 (56.7%)","<0.001","<0.001"
"Phase","Missing/NA","2956","4182","70.7","2956/4182 (70.7%)","750","17.9","750/4182 (17.9%)","2705","64.7","2705/4182 (64.7%)","",""
"Phase","PHASE1","784","1301","60.3","784/1301 (60.3%)","223","17.1","223/1301 (17.1%)","691","53.1","691/1301 (53.1%)","",""
"Phase","PHASE1|PHASE2","264","331","79.8","264/331 (79.8%)","161","48.6","161/331 (48.6%)","204","61.6","204/331 (61.6%)","",""
"Phase","PHASE2","1176","1505","78.1","1176/1505 (78.1%)","707","47","707/1505 (47.0%)","933","62","933/1505 (62.0%)","",""
"Phase","PHASE2|PHASE3","119","167","71.3","119/167 (71.3%)","47","28.1","47/167 (28.1%)","108","64.7","108/167 (64.7%)","",""
"Phase","PHASE3","921","1095","84.1","921/1095 (84.1%)","527","48.1","527/1095 (48.1%)","812","74.2","812/1095 (74.2%)","",""
"Phase","PHASE4","714","915","78","714/915 (78.0%)","315","34.4","315/915 (34.4%)","598","65.4","598/915 (65.4%)","",""
"Lead Sponsor Type","Industry","2199","3120","70.5","2199/3120 (70.5%)","1320","42.3","1320/3120 (42.3%)","1725","55.3","1725/3120 (55.3%)","<0.001","<0.001"
"Lead Sponsor Type","Other (Universities, Organizations, Networks, Non-U.S. Governmental Agencies, Individuals)","4504","6116","73.6","4504/6116 (73.6%)","1269","20.7","1269/6116 (20.7%)","4129","67.5","4129/6116 (67.5%)","",""
"Lead Sponsor Type","U.S. Federal Agency/NIH","295","364","81","295/364 (81.0%)","154","42.3","154/364 (42.3%)","256","70.3","256/364 (70.3%)","",""
"Participant sex","ALL","5951","8119","73.3","5951/8119 (73.3%)","2407","29.6","2407/8119 (29.6%)","5189","63.9","5189/8119 (63.9%)","0.097","<0.001"
"Participant sex","FEMALE","658","914","72","658/914 (72.0%)","230","25.2","230/914 (25.2%)","567","62","567/914 (62.0%)","",""
"Participant sex","MALE","385","561","68.6","385/561 (68.6%)","105","18.7","105/561 (18.7%)","350","62.4","350/561 (62.4%)","",""
"Participant sex","Missing","4","6","66.7","4/6 (66.7%)","1","16.7","1/6 (16.7%)","4","66.7","4/6 (66.7%)","",""
