"section","key","value","formatted"
"sample_overview","total_studies","9600","9,600"
"enrollment_descriptives","mean_enrollment","342.2","342.2"
"enrollment_descriptives","median_enrollment","56","56"
"enrollment_descriptives","sd_enrollment","3892.2","3,892.2"
"enrollment_descriptives","iqr_enrollment","116.25","116.25"
"enrollment_descriptives","q1_enrollment","25","25"
"enrollment_descriptives","q3_enrollment","141.25","141.25"
"enrollment_descriptives","geometric_mean_enrollment","61.9","61.9"
"enrollment_descriptives","geometric_sd_enrollment","4.2","4.2"
"completion_year_descriptives","median_completion_year","2015","2015"
"completion_year_descriptives","iqr_completion_year","8","8"
"completion_year_descriptives","q1_completion_year","2011","2011"
"completion_year_descriptives","q3_completion_year","2019","2019"
"completion_year_descriptives","min_completion_year","1979","1979"
"sample_overview","total_us_studies","356","356"
