"node_id","label","shape","role"
"nctid","Trial ID","rectangle","input"
"ctgov","Registration lookup from ClinicalTrials.gov, EUCTR or DRKS","ellipse","process"
"registration","Registration metadata","rectangle","data"
"publication_discovery","Publication discovery","ellipse","process"
"linked_publications","Publications linked at registration","cylinder","source"
"pubmed_search","PubMed query - predefined","cylinder","source"
"pubmed_gpt","PubMed query - LLM-generated","cylinder","source"
"google_scholar","Google Scholar and Citation Matcher API","cylinder","source"
"candidate_publications","Candidate publications","rectangle","data"
"llm","Result detection using LLM","ellipse","process"
"result_publications","Result publications","rectangle","output"
"result_detection","Result detection - yes/no","rectangle","output"
