"NCT Number";"Study Title";"Study URL";"Acronym";"Study Status";"Study Results";"Conditions";"Interventions";"Primary Outcome Measures";"Secondary Outcome Measures";"Other Outcome Measures";"Sponsor";"Collaborators";"Sex";"Age";"Phases";"Enrollment";"Funder Type";"Study Type";"Study Design";"Other IDs";"Start Date";"Primary Completion Date";"Completion Date";"First Posted";"Results First Posted";"Last Update Posted";"Locations";"completion_date";"completion_year";"completion_month";"eligible_year";"year_bin";"enrollment_bin"
"NCT00449592";"Oral Zinc Therapy for the Prevention of Mucositis";"https://clinicaltrials.gov/study/NCT00449592";"";"COMPLETED";"NO";"Mucositis";"DRUG: Zinc|DRUG: Placebo";"Maximal Mucositis grade, day -7 to day +21 or discharge day";"Duration of maximal mucositis grade, day -7 to day +21 or discharge day|Overall duration of mucositis, day -7 to day +21 or discharge day|Duration of severe neutropenia, day -7 to day +21 or discharge day|Duration of febrile neutropenia, day -7 to day +21 or discharge day";"";"Sheba Medical Center";"";"ALL";"ADULT, OLDER_ADULT";"PHASE4";40;"OTHER_GOV";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION";"SHEBA-06-4196-MKM-CTIL";"2007-04";"2008-09";"2008-09";2007-03-20;NA;2008-10-03;"Division of Hematology and Bone Marrow Transplantation, Sheba Medical Center, Ramat Gan, Israel";"2008-09";2008;9;TRUE;"2005-2009";"1-99"
"NCT00711412";"Capecitabine, Oxaliplatin, and Radiation Therapy in Treating Patients With Esophageal or Gastroesophageal Junction Cancer";"https://clinicaltrials.gov/study/NCT00711412";"";"COMPLETED";"YES";"Esophageal Cancer";"DRUG: Induction Therapy - Capecitabine|DRUG: Induction Therapy - Oxaliplatin|DRUG: Combination Therapy - Capecitabine|DRUG: Combination Therapy - Oxaliplatin|RADIATION: Combination Therapy - Radiation|PROCEDURE: Evaluation for response and surgery";"Determine Pathologic Complete Response, Pathologic response will be assessed semiquantitatively irrespective of lymph node status based on the estimated percentage of residual carcinoma in relation total carcinoma area, including amount of radiotherapy-induced tissue injury, in mural histologic sections.

Pathologic response will be defined as:

P0: 0% residual cancer P1: 1% to 50% residual cancer P2: more than 50% residual cancer, At time of surgery";"Clinical Response Rate, Clinical response Rate will be expressed as the proportion of patients demonstrating a complete and/or partial response based on all evaluable patients treated.Clinical response will be evaluated according to Response Evaluation Criteria In Solid Tumors 1.0 (RECIST) .

Complete Response (CR) is defined as the disappearance of all target lesions Partial Response (PR) is defined as at least a 30% decrease in the sum of the longest diameter (LD) of target lesions,taking as reference the baseline sum LD, four to six weeks following completion of 4 cycles (1 cycle = 21days) of chemotherapy treatment and prior to surgery|Recurrence Rate, Recurrence rate will be defined as disease recurrence, progressive disease or death. Patients will be followed for disease recurrence or death until the end of the study., From the time of start of treatment until first documentation of disease recurrence, progression or death, whichever comes first until the end of the study, a maximum of 6 years and 7 months.|Time to Progression, Time to Progression will be measured as time from the first day of therapy until death, disease progression or last contact., From start of first treatment until time of first documentation of progression of disease or death, whichever comes first, until the study closes, up to a maximum of 6 years and 7 months.|Patterns of Failure, At time of surgery|Toxicity Profile, Toxicity will be assessed at the beginning of every cycle during chemotherapy for a total of 4 cycles (1 cycle =21 days) and then 30 days post last dose of chemotherapy. All toxicities will be graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events version 3.0 (CTCAE 3.0)

In general adverse events (AEs) will be graded according to the following:

Grade 1 Mild AE Grade 2 Moderate AE Grade 3 Severe AE Grade 4 Life-threatening or disabling AE Grade 5 Death related to AE

Only incidents of AEs determined to be related to chemotherapy are recorded here., During chemotherapy treatment and up to 30 days post-last dose of chemotherapy.|Correlate Proteomic and Pharmacologic Characteristics With Prognosis and Response to Therapy., At time of sugery";"";"Northwestern University";"";"ALL";"ADULT, OLDER_ADULT";"PHASE2";44;"OTHER";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"NU 05I2|STU00006779";"2006-05-31";"2009-05-29";"2013-01-30";2008-07-08;2018-07-18;2018-07-18;"Robert H. Lurie Comprehensive Cancer Center at Northwestern University, Chicago, Illinois, 60611-3013, United States";"2009-05-29";2009;5;TRUE;"2005-2009";"1-99"
"NCT00218920";"Effective Training in Overweight and Obese People";"https://clinicaltrials.gov/study/NCT00218920";"";"COMPLETED";"NO";"Obesity|Overweight";"BEHAVIORAL: Strength training|BEHAVIORAL: continuous moderate-intensity aerobic training|BEHAVIORAL: high-intensity interval aerobic training";"Body weight, 12 weeks|Aerobic capacity, 12 weeks|Endothelial function, 12 weeks";"Molecular markers in fat and skeletal muscle biopsies for the effects of exercise training, 12 weeks";"";"Norwegian University of Science and Technology";"";"ALL";"ADULT, OLDER_ADULT";NA;40;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: SINGLE|Primary Purpose: TREATMENT";"4-2005.542";"2005-09";"2008-01";"2008-01";2005-09-22;NA;2017-10-16;"Norwegian University of Science and Technology, Trondheim, 7489, Norway";"2008-01";2008;1;TRUE;"2005-2009";"1-99"
"NCT01502553";"Clinical Study of Blood Pressure Monitor in Conformance With the ANSI/AAMI SP10";"https://clinicaltrials.gov/study/NCT01502553";"BPM_S";"COMPLETED";"NO";"Hypertension";"DEVICE: Comparison Test to Yuyue Medical BP Meter, YYBP-212";"Verify the accuracy of measure functions of device, Verify the accuracy of device if meet the requirements of ANSI/AAMI SP10 when it measure Systolic \& Diastolic blood pressure., 10 days";"";"";"Leo Wang";"BTS International";"ALL";"ADULT, OLDER_ADULT";NA;95;"OTHER";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC";"Trans 2011004|BTS-TRANS04";"2011-10";"2011-10";"2011-11";2011-12-30;NA;2011-12-30;"Zhongshan City People's Hospital, Zhongshan, Guangdong, 528403, China";"2011-10";2011;10;TRUE;"2010-2014";"1-99"
"NCT02766036";"Propolis Effects in Patients With Chronic Kidney Disease";"https://clinicaltrials.gov/study/NCT02766036";"";"COMPLETED";"NO";"Chronic Kidney Diseases";"DRUG: Propolis|DRUG: Placebo";"Reducing Proteinuria, Reduction from baseline proteinuria., One year";"Protection of the glomerular filtration rate, Maintaining glomerular filtration rate or inferior reduction to 5 ml per minute per 1.73 m2 of body-surface area from baseline., One year";"";"University of Sao Paulo General Hospital";"";"ALL";"ADULT, OLDER_ADULT";"PHASE2";32;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT";"54326916.4.0000.0068|USP Brazil";"2016-12-01";"2018-02";"2018-03";2016-05-09;NA;2018-05-03;"University of Sao Paulo General Hospital, São Paulo, 05403-000, Brazil";"2018-02";2018;2;TRUE;"2015-2019";"1-99"
"NCT02207088";"Ombitasvir/ABT-450/Ritonavir and Dasabuvir With or Without Ribavirin in HCV Genotype 1-Infected Adults With Chronic Kidney Disease";"https://clinicaltrials.gov/study/NCT02207088";"";"COMPLETED";"YES";"Chronic Hepatitis C|Hepatitis C Virus|Compensated Cirrhosis|Severe Renal Impairment|End-stage Renal Disease";"DRUG: ombitasvir/paritaprevir/ritonavir|DRUG: dasabuvir|DRUG: Ribavirin";"Percentage of Participants With Sustained Virologic Response 12 (SVR12) Weeks Post-treatment, SVR12 was defined as plasma hepatitis C virus ribonucleic acid (HCV RNA) level less than the lower limit of quantification (\<LLOQ) 12 weeks after the last dose of study drug., 12 weeks after the last actual dose of study drug";"Percentage of Participants With On-treatment Virologic Failure, On-treatment virologic failure was defined as confirmed HCV RNA ≥ LLOQ after \< LLOQ during treatment, confirmed increase of \> 1 log (subscript)10(subscript) IU/mL above the lowest value post-baseline HCV RNA during treatment, or HCV RNA ≥ LLOQ persistently during treatment with at least 6 weeks of treatment., Up to 24 weeks|Percentage of Participants With Post-Treatment Relapse, Post-treatment relapse was defined as confirmed HCV RNA ≥ LLOQ between end of treatment and 12 weeks after the last dose of study drug among participants completing treatment and with HCV RNA \< LLOQ at the end of treatment., Within 12 weeks after the last dose of study drug";"";"AbbVie";"";"ALL";"ADULT, OLDER_ADULT";"PHASE3";68;"INDUSTRY";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"M14-226|2014-001527-77";"2014-09-23";"2016-12-06";"2016-12-06";2014-08-01;2017-11-09;2017-11-09;"";"2016-12-06";2016;12;TRUE;"2015-2019";"1-99"
"NCT00321178";"BURULICO Drug Trial Study Protocol: RCT SR8/SR4+CR4, GHANA";"https://clinicaltrials.gov/study/NCT00321178";"BURULICO";"COMPLETED";"NO";"Buruli Ulcer|Mycobacterium Ulcerans";"DRUG: SR4 - switch to CR4";"healing without recurrence and without debridement surgery at 12 months follow-up after start of treatment, 12 months follow-up after start of treatment";"reduction in lesion surface area and/or clinically assessed improvement on completion of treatment, averting the need for debridement surgery, during treatment and follow-up x 12 months|adverse events, during treatment and follow-up x 12 months|functional limitations, at end of follow-up (12 months)";"";"University Medical Center Groningen";"";"ALL";"CHILD, ADULT, OLDER_ADULT";"PHASE2|PHASE3";151;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT";"BURULICODRUGTRIAL|EU FP6 2003-INCO-Dev2-015476";"2006-05";"2008-01";"2009-02";2006-05-03;NA;2010-06-30;"Agogo Hospital, Agogo, Ashanti Region, Ghana|Nkawie-Toaso Hospital, Nkawie, Ashanti Region, Ghana";"2008-01";2008;1;TRUE;"2005-2009";"100-499"
"NCT05216211";"The Effect of Caudal Block on Optic Nerve Sheath Diameter in Pediatric Patients";"https://clinicaltrials.gov/study/NCT05216211";"";"COMPLETED";"NO";"Postoperative Pain|Intracranial Hypertension";"DRUG: Bupivacaine Hydrochloride";"Optic Nerve Diameter, Consecutive Optic Nerve Sheath Diameter Measurement from Both Eyes, First minute|Optic Nerve Diameter, Consecutive Optic Nerve Sheath Diameter Measurement from Both Eyes, 5th minutes|Optic Nerve Diameter, Consecutive Optic Nerve Sheath Diameter Measurement from Both Eyes, 15th minutes|Optic Nerve Diameter, Consecutive Optic Nerve Sheath Diameter Measurement from Both Eyes, 30th minutes";"";"";"Ataturk University";"";"ALL";"CHILD";NA;60;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: DIAGNOSTIC";"Optic nerve Caudal";"2021-12-09";"2022-09-01";"2022-10-30";2022-01-31;NA;2022-12-23;"Ataturk University School of Medicine, Erzurum, Yakutiye, 25100, Turkey (Türkiye)";"2022-09-01";2022;9;TRUE;"2020-2024";"1-99"
"NCT03754582";"A Study of Intravenous Perampanel in Japanese Participants With Epilepsy";"https://clinicaltrials.gov/study/NCT03754582";"";"COMPLETED";"YES";"Epilepsy|Seizures";"DRUG: Perampanel|DRUG: Perampanel";"Number of Participants With Serious Adverse Events (SAEs), A SAE was defined as any untoward medical occurrence that at any dose: Resulted in death; was life-threatening; required inpatient hospitalization or prolongation of existing hospitalization; resulted in persistent or significant disability/incapacity; was a congenital anomaly/birth defect., Up to 60 days (Pretreatment Phase: up to 28 days, Treatment Phase: up to 4 days, Follow-up Phase: up to 28 days after last dose)|Number of Participants With Adverse Events (AEs), An AE was defined as any untoward medical occurrence in a clinical investigation participant administered a drug; it does not necessarily have to have a causal relationship with this treatment. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of an investigational product, whether or not considered related to the investigational product, any new disease or exacerbation of an existing disease, any deterioration in nonprotocol-required measurements of a laboratory value or other clinical test that resulted in symptoms, a change in treatment, or discontinuation of study drug, recurrence of an intermittent medical condition not present pretreatment, an abnormal laboratory test result was considered an AE if the identified laboratory abnormality led to any type of intervention, withdrawal of study drug, or withholding of study drug, whether prescribed in the protocol or not., Up to 60 days (Pretreatment Phase: up to 28 days, Treatment Phase: up to 4 days, Follow-up Phase: up to 28 days after last dose)|Number of Participants With Markedly Abnormal Clinical Laboratory Parameter Values During Treatment and Follow-up Phase, Up to Day 11 (Treatment Phase: at Day 4, Follow-up Phase: up to 7 days after last dose)|Number of Participants With Abnormal Vital Sign Values During Treatment and Follow-up Phase, Up to 11 days (Treatment Phase: up to 4 days, Follow-up Phase: up to 7 days after the last dose)|Number of Participants With Abnormal Body Weight During Treatment and Follow-up Phase, Up to 11 days (Treatment Phase: up to 4 days, Follow-up Phase: up to 7 days after the last dose)|Number of Participants With Clinically Significant Markedly Abnormal Electrocardiogram (ECG) Value During Treatment and Follow-up Phase, Up to Day 11 (Treatment Phase: at Day 4, Follow-up Phase: up to 7 days after the last dose)";"Mean Seizure Frequency Per Day in Pretreatment Phase, Treatment Phase and Follow-up Phase, Seizure frequency was based on number of seizures per day, calculated as the number of seizures over the entire time interval divided by the number of days in the interval., Up to 39 days (Pretreatment Phase: up to 28 days; Treatment Phase: up to 4 days; Follow-up Phase: up to 7 days after the last dose)|Plasma Concentration of Perampanel Before and After Switching From Oral Perampanel to 30-minute Intravenous Infusions of Perampanel, Pretreatment Phase-Day -1: Pre-dose, 0.5 hours, 1 hours and 1.5 hours post-dose; Treatment Phase-Day 1, Day 2, Day 3 and Day 4: Pre-dose and 0.5 hours after start of intravenous infusions";"";"Eisai Co., Ltd.";"";"ALL";"CHILD, ADULT, OLDER_ADULT";"PHASE2";21;"INDUSTRY";"INTERVENTIONAL";"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT";"E2007-J081-240";"2018-11-27";"2019-12-10";"2019-12-10";2018-11-27;2021-01-05;2021-01-05;"Eisai trial site 5, Kurume, Fukuoka, Japan|Eisai trial site 12, Sapporo, Hokkaido, Japan|Eisai trial site 9, Ōmura, Nagasaki, Japan|Eisai trial site 7, Sayama, Osaka, Japan|Eisai trial site 2, Asaka, Saitama, Japan|Eisai trial site 13, Hamamatsu, Shizuoka, Japan|Eisai trial site 8, Kodaira, Tokyo, Japan|Eisai trial site 10, Hiroshima, Japan|Eisai trial site 6, Kagoshima, Japan|Eisai trial site 1, Niigata, Japan|Eisai trial site 11, Okayama, Japan|Eisai trial site 3, Shizuoka, Japan|Eisai trial site 4, Yamagata, Japan";"2019-12-10";2019;12;TRUE;"2015-2019";"1-99"
"NCT05297942";"Expansion of Abbreviations and Acronyms for Patients";"https://clinicaltrials.gov/study/NCT05297942";"";"COMPLETED";"NO";"Heart Failure";"OTHER: Expansion of Abbreviations and Acronyms";"Overall comprehension, count of the total number of abbreviated or expanded terms comprehended by the each participant, Day 1, at the time of the intervention administration";"";"";"Weill Medical College of Cornell University";"Columbia University";"ALL";"ADULT, OLDER_ADULT";NA;60;"OTHER";"INTERVENTIONAL";"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH";"1804019182";"2020-02-01";"2021-08-31";"2021-08-31";2022-03-28;NA;2022-06-16;"Weill Cornell Medicine, New York, New York, 10065, United States";"2021-08-31";2021;8;TRUE;"2020-2024";"1-99"
